name,category,location,purchase_date,purchase_cost,current_value,condition,assigned_to,description
ONEHVMH2,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,"Model: HP Prolaint GL360 Gen 10  | Serial: CZJ1020F01 |  Xeon 3.00GHz 24CPUs Gold 6248, 64GB RAM, 7.5TB SSD Drive | IP: 192.168.1.95"
ONEHVMH1,IT Equipment - Server,HEAD OFFICE,2025-02-03,1000,1000.0,excellent,,Model: HP Prolaint GL360 Gen 11 | Serial: CZ2D2507J3 | IP: 192.168.1.89
ONEHVMH1,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,Model: HP Prolaint GL360 Gen 11 | Serial: CZ2D2507J3 | IP: 192.168.1.88
1H-FOCUS,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,Model: HP Prolaint GL360 Gen 11 | IP: 192.168.1.87
ONEH-CHECKSCM,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,Model: HP Prolaint GL360 Gen 11 | IP: 192.168.0.182
1H-SERVER,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,Model: HP Prolaint GL360 Gen 11 | IP: 192.168.1.89
ONEHVMH2,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,"Model: HP Prolaint GL360 Gen 10  |  Xeon 3.00GHz 24CPUs Gold 6248, 64GB RAM, 7.5TB SSD Drive | IP: 192.168.1.95"
ONEH-PDC,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,"Model: HP Prolaint GL360 Gen 10  |  Xeon 3.00GHz 24CPUs Gold 6248, 64GB RAM, 7.5TB SSD Drive | IP: 192.168.1.100"
OHEH-BACKUP,IT Equipment - Server,HEAD OFFICE,2020-01-01,1000,100.0,fair,,"Model: HP Prolaint GL360 Gen 10  |  Xeon 3.00GHz 24CPUs Gold 6248, 64GB RAM, 7.5TB SSD Drive | IP: 192.168.1.97"
Switch,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: HP 2620-48 POE+Switch J9624J | Serial: CN34DRW029
Switch,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: HP 2620-48 POE+Switch J9624J | Serial: CN33DRW1N0
Firewall,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: SonicWall NSa 2650 | IP: 192.168.1.253
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Pro | IP: 192.168.0.8
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Pro | IP: 192.168.0.246
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Pro | IP: 192.168.1.151
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Pro | IP: 192.168.0.130
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Lite | IP: 192.168.1.161
Access Point,IT Equipment - Switch,Head Office,2020-01-01,1000,100.0,fair,,Model: UniFi AC Lite | IP: 192.168.0.89
ONEH-BACKUP,IT Equipment - Storage,Head Office,2020-01-01,1000,100.0,fair,,Model: Synology Ds720+ | Serial:  | IP: 192.168.1.94
FILESEERVER,IT Equipment - Storage,Head Office,2020-01-01,1000,100.0,fair,,Model: Synology RS1221+ | Serial:  | IP: 192.168.1.98
DS720,IT Equipment - Storage,Head Office,2020-01-01,1000,100.0,fair,,Model: Synology Ds720+ | Serial:  | IP: 192.168.1.99
